epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,75.0103,1.77586,4.77659,7.07505,0.01984,9.31292,0,0,0,0,0,0,0,0,1.75011,4.301,4.06609,0.0263,0,0.000105,0.000105,0.000105
2,122.145,1.53237,3.77648,6.86021,0.01659,8.00506,0.00995,0.01026,0.00312,0.00129,0.00901,0.00978,0.0016,0.00058,1.65138,4.5399,3.95934,0.02587,0,0.000212872,0.000212872,0.000212872
3,170.052,1.4339,3.49623,6.42869,0.0166,5.99898,0.00646,0.21057,0.02391,0.00972,0.00477,0.19219,0.01745,0.00669,1.55208,3.79579,3.93238,0.02341,0,0.000318565,0.000318565,0.000318565
4,218.459,1.41464,3.32434,5.91275,0.0157,4.20877,0.00368,0.41815,0.05663,0.02187,0.00314,0.35968,0.04441,0.01498,1.67206,3.79876,3.66806,0.02655,0,0.00042208,0.00042208,0.00042208
5,267.397,1.49986,3.38583,5.44163,0.0198,3.32004,0.73803,0.03232,0.0487,0.02289,0.74579,0.03407,0.04877,0.01939,1.70667,4.12403,3.81254,0.02755,0,0.0004802,0.0004802,0.0004802
6,316.715,1.51471,3.26664,4.74074,0.01722,2.97681,0.70716,0.05573,0.0987,0.04502,0.70121,0.0535,0.08575,0.03424,1.79154,3.98301,3.48898,0.02861,0,0.00047525,0.00047525,0.00047525
7,367.138,1.49016,3.15688,4.50177,0.01882,2.79843,0.66173,0.08902,0.10397,0.05308,0.65932,0.08656,0.09465,0.04717,1.74802,3.81598,3.34279,0.02869,0,0.0004703,0.0004703,0.0004703
8,417.379,1.45994,2.98183,4.09659,0.01681,2.51722,0.65021,0.11411,0.12933,0.06241,0.64044,0.10922,0.1222,0.05059,1.74241,4.44618,3.34906,0.02818,0,0.00046535,0.00046535,0.00046535
9,467.063,1.45219,2.9432,3.72029,0.0163,2.15335,0.63549,0.11849,0.13935,0.07347,0.63283,0.11348,0.12691,0.05636,1.70439,3.67225,3.25563,0.02748,0,0.0004604,0.0004604,0.0004604
10,516.575,1.47472,2.94479,3.49826,0.01649,1.97205,0.50674,0.14763,0.15809,0.08464,0.50625,0.14852,0.15436,0.07059,1.75548,3.56355,3.15281,0.02843,0,0.00045545,0.00045545,0.00045545
11,566.47,1.44154,2.86446,3.41854,0.01669,1.73849,0.47385,0.1537,0.14519,0.08019,0.40593,0.14773,0.14646,0.0679,1.72658,3.61472,3.23576,0.02743,0,0.0004505,0.0004505,0.0004505
12,616.405,1.4662,2.91398,3.25229,0.01765,1.60576,0.43246,0.18424,0.17313,0.09212,0.43024,0.18171,0.16949,0.08175,1.70961,3.34537,3.12072,0.0279,0,0.00044555,0.00044555,0.00044555
13,664.65,1.48964,2.79438,3.07955,0.01795,1.35835,0.44917,0.18308,0.18159,0.09213,0.43931,0.17215,0.17088,0.07963,1.74959,3.4031,3.10511,0.02884,0,0.0004406,0.0004406,0.0004406
14,712.504,1.47881,2.81406,2.99505,0.01575,1.19437,0.38824,0.17994,0.16537,0.08999,0.40111,0.17094,0.15262,0.07077,1.70813,3.56727,3.29161,0.02738,0,0.00043565,0.00043565,0.00043565
15,760.782,1.3801,2.62215,2.754,0.01516,0.96327,0.45111,0.17233,0.1672,0.09033,0.44861,0.16882,0.15866,0.07519,1.72613,3.37903,3.20958,0.02835,0,0.0004307,0.0004307,0.0004307
16,810.15,1.46103,2.91849,2.67149,0.01763,0.89983,0.39848,0.21274,0.20612,0.10834,0.39651,0.20438,0.18784,0.0911,1.75982,3.64362,3.11392,0.02844,0,0.00042575,0.00042575,0.00042575
17,860.055,1.37044,2.57729,2.5656,0.01493,0.82802,0.48113,0.2291,0.20396,0.11087,0.47383,0.22365,0.19325,0.08978,1.69083,3.34115,3.03681,0.02686,0,0.0004208,0.0004208,0.0004208
18,909.672,1.39693,2.58064,2.6137,0.01494,0.76719,0.42714,0.22099,0.21819,0.11422,0.44624,0.20612,0.21189,0.09978,1.80334,3.35842,3.02125,0.02942,0,0.00041585,0.00041585,0.00041585
19,959.444,1.42913,2.60829,2.45319,0.01511,0.70554,0.38888,0.20482,0.20928,0.11081,0.37368,0.19162,0.19311,0.08952,1.73355,3.61781,2.90587,0.02817,0,0.0004109,0.0004109,0.0004109
20,1009.12,1.40092,2.63538,2.44834,0.01527,0.69202,0.41018,0.20179,0.19739,0.1083,0.41083,0.19882,0.18511,0.08506,1.77973,3.3693,3.24661,0.02933,0,0.00040595,0.00040595,0.00040595
