epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,114.55,1.62103,4.32506,6.96787,0.01901,6.85804,0,0,0,0,0,0,0,0,1.62101,4.0746,4.02492,0.02481,0,0.000162791,0.000162791,0.000162791
2,193.839,1.43434,3.47809,6.36714,0.01566,4.547,0.00322,0.28924,0.03842,0.02034,0.00281,0.23605,0.03395,0.01095,1.58409,3.87466,3.88184,0.02446,0,0.000313149,0.000313149,0.000313149
3,273.705,1.46161,3.28274,5.62396,0.01637,3.26878,0.84254,0.02367,0.08015,0.03732,0.84391,0.0209,0.0671,0.02359,1.80983,4.14654,3.58475,0.02916,0,0.000447008,0.000447008,0.000447008
4,353.874,1.49023,3.2688,4.86366,0.01672,2.94311,0.6491,0.07605,0.07839,0.03499,0.64166,0.06823,0.06749,0.02565,1.7733,3.99383,3.44253,0.02956,0,0.00042575,0.00042575,0.00042575
5,433.714,1.45464,3.08771,4.26086,0.0164,2.43739,0.56972,0.08762,0.08649,0.04064,0.56111,0.08142,0.08069,0.03339,1.72881,3.71165,3.37166,0.0278,0,0.000401,0.000401,0.000401
6,513.374,1.4985,3.06111,3.87866,0.01662,2.05605,0.57015,0.11348,0.10841,0.05054,0.57028,0.10248,0.10481,0.04405,1.70595,3.63774,3.42171,0.0279,0,0.00037625,0.00037625,0.00037625
7,593.056,1.46679,2.96466,3.55638,0.01609,1.6282,0.38381,0.12673,0.1214,0.05479,0.38157,0.12003,0.11638,0.04606,1.74446,3.52468,3.25131,0.02888,0,0.0003515,0.0003515,0.0003515
8,673.341,1.46663,2.93863,3.3099,0.01634,1.27851,0.40666,0.14191,0.14256,0.07971,0.40301,0.13815,0.14254,0.06242,1.66738,3.37267,3.18214,0.02624,0,0.00032675,0.00032675,0.00032675
9,752.853,1.47168,2.87015,3.14638,0.01636,1.0565,0.50467,0.16263,0.1614,0.08414,0.49953,0.16013,0.15369,0.06829,1.73497,3.41395,3.10157,0.02838,0,0.000302,0.000302,0.000302
10,831.731,1.44593,2.82105,2.96677,0.01603,0.93301,0.38268,0.1834,0.18002,0.09779,0.38805,0.17664,0.17903,0.0813,1.7402,3.37349,3.06506,0.02851,0,0.00027725,0.00027725,0.00027725
11,915.106,1.55569,2.78213,3.09007,0.02303,0.58807,0.39718,0.20219,0.19262,0.0982,0.3987,0.19812,0.18755,0.08324,1.71334,3.25888,3.04233,0.02808,0,0.0002525,0.0002525,0.0002525
12,988.637,1.44428,2.62522,2.70611,0.02163,0.52724,0.53457,0.206,0.20895,0.11772,0.51122,0.20287,0.19998,0.0959,1.68284,3.23491,2.90412,0.02662,0,0.00022775,0.00022775,0.00022775
13,1063.19,1.46776,2.56622,2.57621,0.02106,0.49562,0.5077,0.22377,0.22633,0.11801,0.51368,0.21779,0.21739,0.09888,1.73178,3.27326,2.87615,0.02797,0,0.000203,0.000203,0.000203
14,1136.33,1.44081,2.51524,2.42764,0.0207,0.43704,0.39299,0.23994,0.23157,0.12873,0.36478,0.22574,0.19735,0.0936,1.70078,3.27296,2.87924,0.02654,0,0.00017825,0.00017825,0.00017825
15,1210.62,1.41417,2.55709,2.27328,0.02229,0.43602,0.40149,0.23603,0.22965,0.1357,0.38349,0.22414,0.21122,0.10012,1.67644,3.27595,2.92164,0.02638,0,0.0001535,0.0001535,0.0001535
16,1283.62,1.39925,2.414,2.21612,0.02056,0.39527,0.40464,0.23503,0.21828,0.12208,0.37418,0.22207,0.1942,0.09324,1.66211,3.27015,2.90481,0.02643,0,0.00012875,0.00012875,0.00012875
17,1356.81,1.36702,2.43477,2.15374,0.02078,0.4324,0.38764,0.25856,0.24449,0.13269,0.36817,0.24519,0.22867,0.10074,1.68398,3.26211,2.86386,0.02654,0,0.000104,0.000104,0.000104
18,1430.2,1.34043,2.35529,2.08195,0.01925,0.3735,0.50947,0.23303,0.24239,0.1399,0.48047,0.21631,0.21549,0.10285,1.62883,3.23821,2.85149,0.02523,0,7.925e-05,7.925e-05,7.925e-05
19,1503.69,1.3309,2.32542,2.01184,0.01829,0.35881,0.3375,0.28184,0.23733,0.13451,0.32539,0.26778,0.22001,0.10149,1.66852,3.29506,2.8285,0.02609,0,5.45e-05,5.45e-05,5.45e-05
20,1576.81,1.29803,2.32028,1.95374,0.0186,0.35588,0.32727,0.29258,0.25816,0.13879,0.311,0.27827,0.21738,0.10038,1.64368,3.25998,2.8238,0.02524,0,2.975e-05,2.975e-05,2.975e-05
